Date,Predicted_Close
2025-03-19 00:00:00-04:00,492.68662303325954
2025-03-20 00:00:00-04:00,490.62880380771304
2025-03-21 00:00:00-04:00,488.65656094234237
2025-03-22 00:00:00-04:00,486.6623918796744
2025-03-23 00:00:00-04:00,484.60673486772885
2025-03-24 00:00:00-04:00,482.49063722871875
2025-03-25 00:00:00-04:00,480.3413969093563
2025-03-26 00:00:00-04:00,478.19658237095837
2025-03-27 00:00:00-04:00,476.0944039820045
2025-03-28 00:00:00-04:00,474.0693220217602
2025-03-29 00:00:00-04:00,472.1488709290502
2025-03-30 00:00:00-04:00,470.3513957348953
2025-03-31 00:00:00-04:00,468.68851833740064
2025-04-01 00:00:00-04:00,467.16513750175596
2025-04-02 00:00:00-04:00,465.78007076739823
2025-04-03 00:00:00-04:00,464.52953426052574
2025-04-04 00:00:00-04:00,463.4070413403356
2025-04-05 00:00:00-04:00,462.4033012452611
2025-04-06 00:00:00-04:00,461.50787453776013
2025-04-07 00:00:00-04:00,460.71268670141654
2025-04-08 00:00:00-04:00,460.00773749832587
2025-04-09 00:00:00-04:00,459.3838713052715
2025-04-10 00:00:00-04:00,458.83264197537466
2025-04-11 00:00:00-04:00,458.3463466226819
2025-04-12 00:00:00-04:00,457.91775534546497
2025-04-13 00:00:00-04:00,457.54034771833346
2025-04-14 00:00:00-04:00,457.2079411617721
2025-04-15 00:00:00-04:00,456.91638017151655
2025-04-16 00:00:00-04:00,456.6605970594395
2025-04-17 00:00:00-04:00,456.4367741671518
